# m=0, S=4
1.46985 0.0143512
1.49246 0.023286
1.51508 0.0308851
1.53769 0.0370031
1.5603 0.041514
1.58291 0.0443145
1.60553 0.0453244
1.62814 0.0444862
1.65075 0.0417652
1.67337 0.0371496
1.69598 0.0306505
1.71859 0.0223018
1.74121 0.0121603
1.76382 0.000305477
1.78643 -0.0131601
1.80905 -0.0281113
1.83166 -0.0443998
1.85427 -0.0618548
1.87688 -0.0802823
1.8995 -0.0994656
1.92211 -0.119165
1.94472 -0.139119
1.96734 -0.159042
1.98995 -0.178625
2.01256 -0.197538
2.03518 -0.215441
2.05779 -0.232018
2.0804 -0.246988
2.10302 -0.260105
2.12563 -0.271159
2.14824 -0.279973
2.17085 -0.286405
2.19347 -0.290349
2.21608 -0.291734
2.23869 -0.290523
2.26131 -0.286714
2.28392 -0.280339
2.30653 -0.271467
2.32915 -0.260201
2.35176 -0.246678
2.37437 -0.23107
2.39698 -0.213586
2.4196 -0.194466
2.44221 -0.173988
2.46482 -0.152465
2.48744 -0.130242
2.51005 -0.107702
2.53266 -0.0852488
2.55528 -0.0632688
2.57789 -0.0421154
2.6005 -0.0221081
2.62312 -0.00353304
2.64573 0.0133574
2.66834 0.0283442
2.69095 0.0412422
2.71357 0.0518995
2.73618 0.0601981
2.75879 0.0660533
2.78141 0.0694142
2.80402 0.0702632
2.82663 0.0686165
2.84925 0.0645238
2.87186 0.0580685
2.89447 0.0493673
2.91709 0.0385707
2.9397 0.0258627
2.96231 0.0114609
2.98492 -0.00438364
3.00754 -0.0213861
3.03015 -0.0392352
3.05276 -0.0576241
3.07538 -0.0762655
3.09799 -0.0948921
3.1206 -0.113257
3.14322 -0.131131
3.16583 -0.148309
3.18844 -0.164603
3.21106 -0.179845
3.23367 -0.193887
3.25628 -0.206603
3.27889 -0.217884
3.30151 -0.227644
3.32412 -0.235814
3.34673 -0.242346
3.36935 -0.247214
3.39196 -0.250409
3.41457 -0.251944
3.43719 -0.25185
3.4598 -0.250181
3.48241 -0.247008
3.50503 -0.242424
3.52764 -0.236538
3.55025 -0.229467
3.57286 -0.221325
3.59548 -0.212223
3.61809 -0.202272
3.6407 -0.19158
3.66332 -0.180252
3.68593 -0.168394
3.70854 -0.156106
3.73116 -0.143489
3.75377 -0.13064
3.77638 -0.117656
3.79899 -0.10463
3.82161 -0.0916534
3.84422 -0.0788164
3.86683 -0.0662065
3.88945 -0.0539093
3.91206 -0.0420083
3.93467 -0.0305851
3.95729 -0.0197193
3.9799 -0.00948809
4.00251 3.29576e-05
4.02513 0.0087706
4.04774 0.0166543
4.07035 0.0236168
4.09296 0.029594
4.11558 0.0345253
